Porosity,Mat. Young Modulus,Ultimate Strength,Mat. Fracture Strain,Young Modulus,Yield Strength,Fracture Strength,Fracture Strain,Toughness,Strain Rate
55.1369,2200,46,48,155.4799,6.8586,7.2609,19.3721,1.1978,0.004902747
56.1151,2200,46,48,149.1194,6.6218,7.4312,28.1281,1.7966,0.004902696
60.6311,2200,46,48,128.6426,5.753,6.5772,30.2814,1.6958,0.004902542
64.3375,2200,46,48,108.2675,4.3315,4.8971,22.3568,0.931,0.00490266
64.8561,2200,46,48,113.0746,4.3344,4.7323,16.3414,0.6489,0.00490287
70.5021,2200,46,48,84.6708,3.5422,3.9846,18.1834,0.5985,0.004902736
69.5281,2200,46,48,84.7201,3.4581,3.6425,17.566,0.5497,0.004902805
73.4748,2200,46,48,67.5667,2.7064,2.7743,14.1598,0.3275,0.004902313
83.679,2200,46,48,30.2716,0.7473,0.8418,5.0243,0.0291,0.004903302
83.173,2200,46,48,38.4566,1.2254,1.3857,7.9634,0.0809,0.004903838
48.7013,2800,65,6.2,275.431,8.8583,9.3443,4.6614,0.2578,0.004910146
49.4081,2800,65,6.2,278.9723,7.8377,9.4891,4.7436,0.2679,0.004909443
52.6603,2800,65,6.2,250.0589,6.4604,7.7056,3.958,0.1762,0.004909601
55.223,2800,65,6.2,256.6665,6.5552,7.8558,4.2283,0.1937,0.004910171
60.396,2800,65,6.2,208.4413,5.7369,6.4654,3.9512,0.1462,0.004910166
60.6736,2800,65,6.2,206.8943,6.4136,7.0717,4.953,0.2108,0.004908142
60.8904,2800,65,6.2,207.7538,5.9452,6.5915,4.0087,0.1514,0.004908768
61.3197,2800,65,6.2,173.9762,5.4444,6.0912,4.983,0.185,0.00490861
61.7056,2800,65,6.2,174.5249,4.9574,5.3332,4.2693,0.1393,0.004909312
62.6899,2800,65,6.2,182.4955,5.4816,6.144,4.9067,0.1803,0.004908746
67.7155,2800,65,6.2,136.343,3.897,4.4583,5.0871,0.1418,0.004907183
68.7519,2800,65,6.2,136.2883,3.6634,4.4299,4.8635,0.1312,0.004907147
73.4307,2800,65,6.2,90.9243,2.4465,2.8696,4.8348,0.087,0.004907432
74.0637,2800,65,6.2,93.2375,2.5255,2.8107,4.8446,0.0879,0.004906273
74.8573,2800,65,6.2,89.0729,2.6251,2.9276,4.6591,0.0832,0.004906344
78.1354,2800,65,6.2,52.1533,1.2698,1.4347,4.6088,0.044,0.004904475
79.4189,2800,65,6.2,50.0689,0.8915,1.2641,4.079,0.0322,0.004902728
47.9495,2900,73,12.3,291.8681,13.4369,14.8172,8.3092,0.7817,0.004907797
50.1729,2900,73,12.3,287.0571,13.368,14.4954,7.4606,0.6628,0.004905052
69.5209,2900,73,12.3,144.9067,5.0734,5.6061,4.859,0.157,0.004905773
76.5149,2900,73,12.3,54.2925,2.2698,2.4082,6.3805,0.0976,0.004903737
52.176,2080,52,12,209.8464,9.4389,10.255,6.5749,0.4034,0.00490639
